un. medida,predicted,texto
comp,"comp,unidade,metro,grama,litro,ampola,conjunto,caixa,m3,kg",venlaxin 9 mg com 9 cpr
comp,"comp,unidade,litro,metro,grama,caixa,ampola,conjunto,cilindro,rolo",loratadina 9 mg comprimidos
comp,"comp,ampola,unidade,grama,kg,metro,kit,caixa,frasco,litro",carbamazepina 9 mg cpr brainfarma 
comp,"comp,unidade,grama,litro,caixa,metro,galao,m3,conjunto,frasco",santiazepam 9 mg diazepam cpr
comp,"comp,metro,grama,caixa,litro,unidade,conjunto,m3,ampola,cilindro",ciprofloxacino 9 mg c 9 comp
comp,"caixa,comp,unidade,litro,ampola,frasco,grama,metro,conjunto,rolo", levomepromazina 9 mg comp cristalia lote 9
comp,"comp,unidade,litro,metro,grama,caixa,cilindro,frasco,kg,kit",atenolol 9 mg cx 9 cps  gen
comp,"comp,unidade,grama,litro,ampola,metro,caixa,conjunto,cilindro,kg",espironolactona 9 mg c 9 comp  hip hipolabor hosp  
comp,"comp,ampola,grama,unidade,caixa,litro,frasco,metro,conjunto,kg",decnazol 9 mg c 9 comp pharla pharlab hosp 
comp,"comp,litro,ampola,metro,unidade,grama,conjunto,caixa,frasco,kg",diosmin 9 mg cx 9 comp
comp,"comp,litro,unidade,grama,ampola,metro,conjunto,frasco,caixa,kg",legalon 9 mg cx 9 cap
comp,"comp,grama,unidade,frasco,caixa,kg,ampola,metro,litro,m3",cetoconazol 9 mg comp prati donaduzzi 
comp,"comp,litro,grama,unidade,metro,conjunto,m3,ampola,caixa,frasco",norfloxacino 9 mg cpr
comp,"comp,grama,kg,ampola,frasco,caixa,unidade,m3,kit,metro",cimetidina 9 mg comp prati donaduzzi 
comp,"comp,grama,unidade,m3,metro,caixa,kg,cilindro,ampola,litro",carbamazepina 9 mg 9 cp c 9 
comp,"comp,unidade,metro,grama,litro,frasco,caixa,ampola,conjunto,kg",amoxacilina 9 mg c 9 comp
comp,"comp,unidade,ampola,grama,litro,caixa,frasco,metro,m3,conjunto", haloperidol 9 mg comp cristalia halo lote 9 
comp,"comp,grama,unidade,frasco,metro,litro,caixa,ampola,conjunto,kg",metronidazol 9 mg c 9 comp imposto ibpt nacional 9 
comp,"comp,unidade,litro,grama,metro,frasco,conjunto,caixa,ampola,kg",engov c 9 x 9 cpr
comp,"comp,litro,grama,unidade,frasco,ampola,metro,conjunto,caixa,rolo",metformina 9 mg 9 cp
comp,"comp,grama,unidade,metro,ampola,frasco,litro,kg,m3,kit",diazepam 9 mg 9 cp b 9 
comp,"comp,grama,unidade,metro,ampola,frasco,litro,kg,m3,kit",diazepam 9 mg 9 cp b 9 
comp,"comp,unidade,litro,metro,grama,caixa,conjunto,frasco,ampola,kg",levonorg etinilest 9 caps
comp,"comp,litro,grama,unidade,frasco,metro,conjunto,ampola,caixa,rolo",metformina 9 mg cpr
comp,"comp,frasco,litro,grama,unidade,ampola,metro,kit,caixa,kg",ibuprofeno 9 mg cpr teuto hospitalar 
comp,"comp,unidade,litro,metro,grama,frasco,kg,caixa,ampola,conjunto",halo 9 mg 9 cpr
comp,"comp,unidade,litro,metro,grama,caixa,conjunto,cilindro,kit,ampola",prednisona 9 mg comprimidos
comp,"comp,frasco,grama,unidade,metro,conjunto,ampola,caixa,litro,kg",propark 9 mg c 9 comp uniao quimica uniao quimica 
comp,"comp,unidade,grama,metro,litro,caixa,frasco,conjunto,rolo,kit",prometazina 9 mg comp teuto 
comp,"litro,ampola,comp,kg,unidade,grama,metro,caixa,kit,galao",diazepan 9 mg cx 9 comp b 9 santisa
comp,"comp,litro,grama,unidade,frasco,conjunto,caixa,ampola,metro,kg",captopril 9 mg 9 cp
comp,"comp,grama,frasco,unidade,ampola,kg,metro,litro,caixa,kit",cefalexina 9 mg c 9 cpr teuto teuto 
comp,"comp,litro,unidade,frasco,grama,conjunto,metro,ampola,m3,caixa",propranolol 9 mg 9 cp
comp,"comp,unidade,litro,grama,conjunto,metro,ampola,frasco,m3,caixa",janumet 9/9 mg 9 cpr
comp,"comp,unidade,litro,metro,grama,caixa,conjunto,frasco,ampola,kg",levonorg etinilest 9 caps
comp,"comp,unidade,caixa,grama,litro,metro,m3,ampola,conjunto,galao",fluoxetina 9 mg cx 9 caps g c 9
comp,"comp,litro,unidade,frasco,grama,ampola,caixa,metro,conjunto,rolo",azitromicina azitrophar 9 mg comp  pharlab
comp,"comp,frasco,grama,unidade,metro,litro,rolo,kg,caixa,ampola",gamax com 9 cpr
comp,"comp,unidade,litro,metro,grama,conjunto,ampola,frasco,caixa,kg",reuquinol 9 mg com 9 cpr
comp,"comp,ampola,grama,metro,unidade,kit,litro,caixa,galao,kg",finasterida 9 mg c 9 comp germed 
comp,"caixa,comp,litro,unidade,ampola,frasco,grama,conjunto,metro,rolo", haloperidol 9 mg comp cristalia halo lote 9
comp,"comp,grama,unidade,litro,conjunto,metro,galao,caixa,ampola,m3",cabergolina 9 mg ct 9 fr c  9 cp
comp,"comp,unidade,metro,litro,grama,caixa,ampola,conjunto,cilindro,kg",albendazol 9 mg c 9 cpr gen
comp,"comp,unidade,litro,grama,frasco,conjunto,ampola,caixa,m3,metro",amiodarona 9 mg 9 cp
comp,"comp,litro,unidade,grama,conjunto,metro,frasco,ampola,caixa,rolo",alprazolam 9 mg cprs
comp,"comp,litro,unidade,grama,frasco,metro,ampola,caixa,conjunto,rolo",sulfametoxazol trimetoprima 9/9 mg cx 9 cpr
comp,"comp,grama,frasco,ampola,kg,kit,unidade,m3,metro,conjunto",cimetidina 9 mg cpr g 
comp,"comp,grama,frasco,ampola,caixa,unidade,litro,metro,rolo,kg",prednisona 9 mg c 9 comp  sanval sanval 
comp,"comp,unidade,metro,litro,grama,caixa,cilindro,ampola,conjunto,m3",anlodipina 9 mg amlodil cpr
comp,"comp,frasco,grama,unidade,metro,litro,rolo,kg,caixa,ampola",gamax com 9 cpr
comp,"comp,unidade,grama,litro,frasco,metro,ampola,kg,caixa,kit",baclofeno 9 mg c 9 comp teuto teuto 
comp,"comp,litro,unidade,grama,conjunto,ampola,caixa,metro,m3,frasco",ranitidina 9 mg 9 cp
comp,"comp,m3,unidade,metro,caixa,grama,ampola,kg,litro,cilindro",alivium 9 ts 9 mg c 9 comp 
comp,"comp,unidade,grama,frasco,litro,ampola,metro,caixa,conjunto,kit",azitromicina 9 mg c 9 comp medquimica medquimica 
comp,"comp,litro,grama,unidade,frasco,ampola,metro,conjunto,caixa,rolo",metformina 9 mg 9 cp
comp,"grama,comp,frasco,unidade,caixa,conjunto,metro,kg,ampola,m3",carbonato litio 9 mg c 9 g cx 9 comp hipolabor mg 
comp,"comp,unidade,metro,grama,m3,caixa,litro,kg,ampola,cilindro",alprazolam 9 mg 9 cpr g b 9 
comp,"comp,unidade,grama,m3,metro,cilindro,caixa,litro,kg,kit",amitriptilina 9 mg 9 cp c 9 
comp,"comp,litro,metro,unidade,grama,ampola,conjunto,frasco,caixa,kg",sulfa tri 9 mg 9 mg 9 cp
comp,"comp,unidade,grama,m3,metro,cilindro,caixa,litro,kg,kit",amitriptilina 9 mg 9 cp c 9 
comp,"litro,grama,comp,frasco,ampola,unidade,metro,caixa,rolo,galao",sinvastatina sinvaston 9 mg comp sanval
comp,"comp,litro,unidade,grama,frasco,metro,conjunto,ampola,caixa,rolo",metildopa 9 mg cpr
comp,"comp,litro,grama,unidade,frasco,ampola,caixa,metro,conjunto,kg",gardenal 9 mg 9 cp
comp,"comp,grama,frasco,metro,unidade,kit,m3,ampola,caixa,litro",biperideno 9 mg 9 cp c 9 
comp,"litro,comp,unidade,grama,metro,ampola,caixa,conjunto,frasco,kit",hidroxicloroquina 9 mg prednisona 9 mg 9 c psulas
comp,"comp,metro,litro,grama,unidade,ampola,caixa,conjunto,kg,cilindro",sulfato ferroso 9 mg c 9 comp
comp,"comp,grama,unidade,ampola,frasco,caixa,metro,litro,conjunto,kg",doxazosina 9 mg c 9 comp imposto ibpt nacional 9 
comp,"comp,grama,frasco,unidade,ampola,litro,metro,caixa,conjunto,kg",metildopa 9 mg c 9 comp imposto ibpt nacional 9 
comp,"comp,unidade,grama,metro,litro,caixa,kg,ampola,frasco,kit",atenolol 9 mg cx 9 comp  vitamedic 
comp,"comp,litro,metro,unidade,ampola,grama,conjunto,caixa,rolo,frasco",fluoxetina 9 mg 9 caps
comp,"comp,ampola,unidade,kit,grama,metro,litro,caixa,kg,galao",nitrofurantoina 9 mg cx 9 caps gen 
comp,"comp,unidade,grama,litro,metro,caixa,cilindro,frasco,conjunto,rolo",metronidazol 9 mg comp gen
comp,"comp,unidade,litro,metro,grama,conjunto,rolo,caixa,galao,kg",vitergyl c 9 g c 9 comp eferv
comp,"comp,grama,unidade,metro,ampola,frasco,m3,litro,conjunto,caixa",meclin 9 mg c 9 comp 
comp,"comp,grama,litro,unidade,metro,conjunto,ampola,caixa,galao,frasco",dorene 9 mg cps 9 x 9 c 9 etico pn
comp,"comp,grama,metro,unidade,litro,caixa,conjunto,kg,frasco,ampola",cefalexina 9 mg comp gen
comp,"comp,unidade,litro,grama,metro,frasco,caixa,kit,kg,conjunto",ampicilina 9 mg caps gen
comp,"comp,grama,litro,conjunto,frasco,ampola,caixa,unidade,metro,kg",carbamazepina 9 mg cx 9 comp c 9 uniao quimica
comp,"comp,ampola,frasco,grama,litro,unidade,metro,conjunto,caixa,kit",dipirona 9 mg c 9 comp greenpharma greenpharma 
comp,"comp,grama,frasco,kg,ampola,unidade,caixa,metro,m3,litro",nimesulida 9 mg cx 9 comp  vitamedic 
comp,"comp,grama,frasco,ampola,caixa,unidade,litro,metro,conjunto,m3",amitriptilina 9 mg via oral cpr brainfarma 
comp,"comp,frasco,grama,unidade,metro,ampola,caixa,litro,conjunto,m3",paroxetina 9 mg c 9 cx  9 comp aurobindo pharma 
comp,"frasco,comp,grama,ampola,unidade,metro,rolo,caixa,litro,m3",permanganato de potassio 9 mg cmp mario 
comp,"comp,frasco,grama,metro,unidade,ampola,litro,kg,kit,caixa",bromazepam 9 mg cprs b 9 gen teuto go 
comp,"comp,unidade,litro,caixa,conjunto,metro,grama,m3,galao,ampola",baclofeno 9 mg c 9 comp lote 9
comp,"comp,unidade,grama,litro,metro,frasco,caixa,conjunto,rolo,galao",paracetamol 9 mg tylalgin cpr
comp,"metro,unidade,comp,ampola,grama,kg,caixa,litro,frasco,galao",sulfato ferroso 9 ng comp  lt 9 f 9 m
comp,"comp,unidade,grama,litro,metro,caixa,cilindro,frasco,conjunto,rolo",metronidazol 9 mg comp gen
comp,"grama,kg,comp,metro,unidade,litro,caixa,frasco,ampola,kit",metildopa 9 mg cx 9 comp g
comp,"comp,unidade,litro,grama,conjunto,frasco,metro,ampola,m3,caixa",acido folico 9 mg 9 cp
comp,"comp,grama,metro,ampola,litro,frasco,caixa,unidade,kg,rolo",tensioval 9 mg c 9 comp san sanval hosp 
comp,"comp,grama,unidade,metro,ampola,frasco,litro,kg,m3,kit",diazepam 9 mg 9 cp b 9 
comp,"comp,metro,grama,litro,ampola,unidade,frasco,conjunto,caixa,kg",furosemida 9 mg c 9 comp
comp,"comp,litro,unidade,grama,conjunto,ampola,caixa,metro,m3,frasco",ranitidina 9 mg 9 cp
comp,"comp,litro,unidade,grama,metro,conjunto,rolo,caixa,kit,galao",9 haloperidol 9 mg comprimido
comp,"ampola,metro,comp,grama,litro,conjunto,kit,caixa,unidade,kg",furosemida de 9 mg comp lt 9 f 9 a
comp,"comp,unidade,litro,grama,conjunto,frasco,metro,ampola,m3,caixa",acido folico 9 mg 9 cp
comp,"unidade,litro,grama,comp,caixa,conjunto,galao,metro,m3,ampola",espironolactona 9 mg comp  lt 9
comp,"grama,unidade,comp,conjunto,litro,ampola,kg,metro,m3,caixa",halo 9 mg haloperidol 9 cpr c 9 
comp,"comp,litro,grama,unidade,ampola,conjunto,metro,m3,caixa,frasco",nimesulida 9 mg cpr
comp,"comp,grama,litro,unidade,conjunto,frasco,caixa,metro,ampola,rolo",captopril 9 mg cpr
comp,"comp,frasco,grama,caixa,ampola,litro,unidade,metro,conjunto,rolo",carbamazepina 9 mg c 9 cx 9 comp  teuto 
comp,"comp,unidade,litro,metro,grama,conjunto,frasco,ampola,caixa,kg",artrosil 9 mg c 9 caps
comp,"comp,unidade,litro,frasco,grama,m3,caixa,conjunto,metro,ampola",atroveran comp 9 x 9
comp,"comp,grama,litro,unidade,conjunto,frasco,caixa,metro,ampola,rolo",captopril 9 mg cpr
comp,"comp,litro,unidade,ampola,grama,conjunto,metro,galao,caixa,kg",dipirona sodica 9 mg comp  hosp
conjunto,"grama,frasco,litro,unidade,comp,caixa,metro,kg,ampola,rolo",coloracao panotico rapido conj  9 x 9 ml
conjunto,"conjunto,grama,m3,caixa,metro,unidade,litro,ampola,galao,kg",jg lona freio diant tras vw 9 9 9
conjunto,"comp,grama,frasco,unidade,ampola,caixa,metro,conjunto,litro,kg",coloracao panotico rapido conj lote 9 validade 
conjunto,"conjunto,litro,comp,grama,metro,frasco,unidade,rolo,ampola,caixa",jg pastilha freio
conjunto,"conjunto,metro,comp,litro,grama,unidade,kit,caixa,rolo,m3",jg pastilha freio dianteiro
conjunto,"conjunto,litro,grama,unidade,galao,metro,kit,caixa,rolo,comp",jogo de pastilhas do freio diant
conjunto,"conjunto,litro,comp,grama,frasco,caixa,metro,ampola,unidade,rolo",conjunto para circulacao extracorporea neonato
conjunto,"conjunto,litro,comp,grama,metro,frasco,unidade,rolo,ampola,caixa",jg pastilha freio
